time,q,dq,tau,qd
3.680000000000002713e-01,1.447681426851253617e-01,-7.315271135309854289e-01,1.229824016857374858e-01,0.000000000000000000e+00
3.700000000000002731e-01,1.433197495169929170e-01,-7.241965840662197840e-01,1.215653837000836290e-01,0.000000000000000000e+00
3.720000000000002749e-01,1.418858698510286342e-01,-7.169398329821436988e-01,1.201677396320093294e-01,0.000000000000000000e+00
3.740000000000002767e-01,1.404663576314900963e-01,-7.097561097692719478e-01,1.187891457891439018e-01,0.000000000000000000e+00
3.760000000000002784e-01,1.390610682881214810e-01,-7.026446716843040008e-01,1.174292838991455312e-01,0.000000000000000000e+00
3.780000000000002802e-01,1.376698587207756397e-01,-6.956047836729204459e-01,1.160878411046759595e-01,0.000000000000000000e+00
3.800000000000002820e-01,1.362925872841900810e-01,-6.886357182927774767e-01,1.147645099492340393e-01,0.000000000000000000e+00
3.820000000000002838e-01,1.349291137729165813e-01,-6.817367556367516235e-01,1.134589883546990308e-01,0.000000000000000000e+00
3.840000000000002855e-01,1.335792994064036177e-01,-6.749071832564840223e-01,1.121709795914558327e-01,0.000000000000000000e+00
3.860000000000002873e-01,1.322430068142310955e-01,-6.681462960862674105e-01,1.109001922417913732e-01,0.000000000000000000e+00
3.880000000000002891e-01,1.309201000214964550e-01,-6.614533963673169259e-01,1.096463401573544161e-01,0.000000000000000000e+00
3.900000000000002909e-01,1.296104444343515461e-01,-6.548277935724602372e-01,1.084091424112401114e-01,0.000000000000000000e+00
3.920000000000002927e-01,1.283139068256889948e-01,-6.482688043312789805e-01,1.071883232453441082e-01,0.000000000000000000e+00
3.940000000000002944e-01,1.270303553209775338e-01,-6.417757523557328092e-01,1.059836120135226878e-01,0.000000000000000000e+00
3.960000000000002962e-01,1.257596593842449650e-01,-6.353479683662903721e-01,1.047947431210491942e-01,0.000000000000000000e+00
3.980000000000002980e-01,1.245016898042077824e-01,-6.289847900185926433e-01,1.036214559608605867e-01,0.000000000000000000e+00
4.000000000000002998e-01,1.232563186805464422e-01,-6.226855618306681439e-01,1.024634948469742568e-01,0.000000000000000000e+00
4.020000000000003015e-01,1.220234194103250042e-01,-6.164496351107201511e-01,1.013206089455227499e-01,0.000000000000000000e+00
4.040000000000003033e-01,1.208028666745540047e-01,-6.102763678855014362e-01,1.001925522037030447e-01,0.000000000000000000e+00
4.060000000000003051e-01,1.195945364248954257e-01,-6.041651248292916332e-01,9.907908327703296436e-02,0.000000000000000000e+00
4.080000000000003069e-01,1.183983058705084523e-01,-5.981152771934891144e-01,9.797996545514919831e-02,0.000000000000000000e+00
4.100000000000003086e-01,1.172140534650347871e-01,-5.921262027368294767e-01,9.689496658648799610e-02,0.000000000000000000e+00
4.120000000000003104e-01,1.160416588937223104e-01,-5.861972856562390755e-01,9.582385900204037910e-02,0.000000000000000000e+00
4.140000000000003122e-01,1.148810030606856464e-01,-5.803279165183312660e-01,9.476641943844832383e-02,0.000000000000000000e+00
4.160000000000003140e-01,1.137319680763025365e-01,-5.745174921915530142e-01,9.372242896064619799e-02,0.000000000000000000e+00
4.180000000000003157e-01,1.125944372447445635e-01,-5.687654157789860943e-01,9.269167288421265027e-02,0.000000000000000000e+00
4.200000000000003175e-01,1.114682950516409504e-01,-5.630710965518074262e-01,9.167394069764256415e-02,0.000000000000000000e+00
4.220000000000003193e-01,1.103534271518741283e-01,-5.574339498834119944e-01,9.066902598466164420e-02,0.000000000000000000e+00
